"fuel category","generation (M MWh)","hovertext","year"
"Coal",1903.955939,"1,903 Million MWh<br>2,206 lb/MWh",2001
"Coal",1933.130346,"1,933 Million MWh<br>2,196 lb/MWh",2002
"Coal",1973.736746,"1,973 Million MWh<br>2,204 lb/MWh",2003
"Coal",1978.30054921,"1,978 Million MWh<br>2,169 lb/MWh",2004
"Coal",2012.8730458599998,"2,012 Million MWh<br>2,158 lb/MWh",2005
"Coal",1990.51113462,"1,990 Million MWh<br>2,154 lb/MWh",2006
"Coal",2016.45558394,"2,016 Million MWh<br>2,159 lb/MWh",2007
"Coal",1985.80124694,"1,985 Million MWh<br>2,163 lb/MWh",2008
"Coal",1755.9042531599998,"1,755 Million MWh<br>2,173 lb/MWh",2009
"Coal",1847.29027877,"1,847 Million MWh<br>2,182 lb/MWh",2010
"Coal",1733.43000569,"1,733 Million MWh<br>2,201 lb/MWh",2011
"Coal",1514.04294494,"1,514 Million MWh<br>2,205 lb/MWh",2012
"Coal",1581.1147160699995,"1,581 Million MWh<br>2,198 lb/MWh",2013
"Coal",1581.71034999,"1,581 Million MWh<br>2,192 lb/MWh",2014
"Coal",1352.39819705,"1,352 Million MWh<br>2,229 lb/MWh",2015
"Coal",1239.14865462,"1,239 Million MWh<br>2,219 lb/MWh",2016
"Coal",1205.83527621,"1,205 Million MWh<br>2,214 lb/MWh",2017
"Coal",1149.4564566600002,"1,149 Million MWh<br>2,213 lb/MWh",2018
"Coal",964.95681181,"964 Million MWh<br>2,219 lb/MWh",2019
"Coal",773.78566031,"773 Million MWh<br>2,352 lb/MWh",2020
"Hydro",216.961052,"216 Million MWh<br>0 lb/MWh",2001
"Hydro",264.328824,"264 Million MWh<br>0 lb/MWh",2002
"Hydro",275.806324,"275 Million MWh<br>0 lb/MWh",2003
"Hydro",268.41730838999996,"268 Million MWh<br>0 lb/MWh",2004
"Hydro",270.32125521,"270 Million MWh<br>0 lb/MWh",2005
"Hydro",289.24641594,"289 Million MWh<br>0 lb/MWh",2006
"Hydro",247.50997468,"247 Million MWh<br>0 lb/MWh",2007
"Hydro",254.83138541999998,"254 Million MWh<br>0 lb/MWh",2008
"Hydro",273.44509452,"273 Million MWh<br>0 lb/MWh",2009
"Hydro",260.20306955000007,"260 Million MWh<br>0 lb/MWh",2010
"Hydro",319.35490374000005,"319 Million MWh<br>0 lb/MWh",2011
"Hydro",276.24021954999995,"276 Million MWh<br>0 lb/MWh",2012
"Hydro",268.56538298000004,"268 Million MWh<br>0 lb/MWh",2013
"Hydro",259.36662214,"259 Million MWh<br>0 lb/MWh",2014
"Hydro",249.08008499000002,"249 Million MWh<br>0 lb/MWh",2015
"Hydro",267.81215330000003,"267 Million MWh<br>0 lb/MWh",2016
"Hydro",300.3329299300001,"300 Million MWh<br>0 lb/MWh",2017
"Hydro",292.52398917,"292 Million MWh<br>0 lb/MWh",2018
"Hydro",287.87373077999996,"287 Million MWh<br>0 lb/MWh",2019
"Hydro",290.36548101000005,"290 Million MWh<br>0 lb/MWh",2020
"Natural Gas",639.129114,"639 Million MWh<br>1,094 lb/MWh",2001
"Natural Gas",691.005755,"691 Million MWh<br>1,059 lb/MWh",2002
"Natural Gas",649.907546,"649 Million MWh<br>1,004 lb/MWh",2003
"Natural Gas",710.1000166599999,"710 Million MWh<br>946 lb/MWh",2004
"Natural Gas",760.96025434,"760 Million MWh<br>949 lb/MWh",2005
"Natural Gas",816.4407696600001,"816 Million MWh<br>948 lb/MWh",2006
"Natural Gas",896.58979148,"896 Million MWh<br>947 lb/MWh",2007
"Natural Gas",882.98059935,"882 Million MWh<br>936 lb/MWh",2008
"Natural Gas",920.97868092,"920 Million MWh<br>924 lb/MWh",2009
"Natural Gas",987.6911013099999,"987 Million MWh<br>929 lb/MWh",2010
"Natural Gas",1013.6177308,"1,013 Million MWh<br>928 lb/MWh",2011
"Natural Gas",1225.83178785,"1,225 Million MWh<br>926 lb/MWh",2012
"Natural Gas",1124.76970803,"1,124 Million MWh<br>915 lb/MWh",2013
"Natural Gas",1126.5413465300003,"1,126 Million MWh<br>913 lb/MWh",2014
"Natural Gas",1333.4539966999998,"1,333 Million MWh<br>910 lb/MWh",2015
"Natural Gas",1378.28423209,"1,378 Million MWh<br>902 lb/MWh",2016
"Natural Gas",1296.4227874100002,"1,296 Million MWh<br>897 lb/MWh",2017
"Natural Gas",1469.10991223,"1,469 Million MWh<br>897 lb/MWh",2018
"Natural Gas",1585.70405085,"1,585 Million MWh<br>895 lb/MWh",2019
"Natural Gas",1616.3816725499998,"1,616 Million MWh<br>846 lb/MWh",2020
"Nuclear",768.826308,"768 Million MWh<br>0 lb/MWh",2001
"Nuclear",780.064087,"780 Million MWh<br>0 lb/MWh",2002
"Nuclear",763.732695,"763 Million MWh<br>0 lb/MWh",2003
"Nuclear",788.528387,"788 Million MWh<br>0 lb/MWh",2004
"Nuclear",781.986365,"781 Million MWh<br>0 lb/MWh",2005
"Nuclear",787.218636,"787 Million MWh<br>0 lb/MWh",2006
"Nuclear",806.424753,"806 Million MWh<br>0 lb/MWh",2007
"Nuclear",806.208435,"806 Million MWh<br>0 lb/MWh",2008
"Nuclear",798.854585,"798 Million MWh<br>0 lb/MWh",2009
"Nuclear",806.96830056,"806 Million MWh<br>0 lb/MWh",2010
"Nuclear",790.204367,"790 Million MWh<br>0 lb/MWh",2011
"Nuclear",769.331249,"769 Million MWh<br>0 lb/MWh",2012
"Nuclear",789.016473,"789 Million MWh<br>0 lb/MWh",2013
"Nuclear",797.165982,"797 Million MWh<br>0 lb/MWh",2014
"Nuclear",797.177877,"797 Million MWh<br>0 lb/MWh",2015
"Nuclear",805.693948,"805 Million MWh<br>0 lb/MWh",2016
"Nuclear",804.949635,"804 Million MWh<br>0 lb/MWh",2017
"Nuclear",807.084477,"807 Million MWh<br>0 lb/MWh",2018
"Nuclear",809.409262,"809 Million MWh<br>0 lb/MWh",2019
"Nuclear",789.918631,"789 Million MWh<br>0 lb/MWh",2020
"Other",136.87935303,"136 Million MWh<br>2,086 lb/MWh",2001
"Other",110.5520926,"110 Million MWh<br>2,291 lb/MWh",2002
"Other",140.44096469,"140 Million MWh<br>2,038 lb/MWh",2003
"Other",142.10519168,"142 Million MWh<br>2,040 lb/MWh",2004
"Other",141.72638931999998,"141 Million MWh<br>2,027 lb/MWh",2005
"Other",84.67831201999999,"84 Million MWh<br>2,156 lb/MWh",2006
"Other",84.45186028999998,"84 Million MWh<br>2,162 lb/MWh",2007
"Other",63.39277534,"63 Million MWh<br>2,271 lb/MWh",2008
"Other",56.834112400000016,"56 Million MWh<br>2,163 lb/MWh",2009
"Other",55.528152459999994,"55 Million MWh<br>2,236 lb/MWh",2010
"Other",49.31594139,"49 Million MWh<br>2,305 lb/MWh",2011
"Other",43.85288155,"43 Million MWh<br>2,393 lb/MWh",2012
"Other",48.86422566000001,"48 Million MWh<br>2,373 lb/MWh",2013
