index (g/kwh),index (lb/mwh),final co2 (million mt),Imperial hovertext,SI hovertext,Emissions hovertext,year,date
645.4177906,1422.888061,214.5910319,"1,423 lb/MWh <br>↑ 7.7% from 2005",645 kg/MWh <br>↑ 7.7% from 2005,215 Million<br>Metric Tonnes,2001,1/1/2000
635.9612381,1402.040145,179.9389993,"1,402 lb/MWh <br>↑ 6.1% from 2005",636 kg/MWh <br>↑ 6.1% from 2005,180 Million<br>Metric Tonnes,2001,2/1/2001
627.5612011,1383.521424,188.7117606,"1,384 lb/MWh <br>↑ 4.7% from 2005",628 kg/MWh <br>↑ 4.7% from 2005,189 Million<br>Metric Tonnes,2001,3/1/2001
627.4483731,1383.272683,174.4796533,"1,383 lb/MWh <br>↑ 4.7% from 2005",627 kg/MWh <br>↑ 4.7% from 2005,174 Million<br>Metric Tonnes,2001,4/1/2001
628.3102059,1385.17268,188.7982333,"1,385 lb/MWh <br>↑ 4.9% from 2005",628 kg/MWh <br>↑ 4.9% from 2005,189 Million<br>Metric Tonnes,2001,5/1/2001
624.9135416,1377.684394,204.7800981,"1,378 lb/MWh <br>↑ 4.3% from 2005",625 kg/MWh <br>↑ 4.3% from 2005,205 Million<br>Metric Tonnes,2001,6/1/2001
641.5324991,1414.322548,229.405344,"1,414 lb/MWh <br>↑ 7.1% from 2005",642 kg/MWh <br>↑ 7.1% from 2005,229 Million<br>Metric Tonnes,2001,7/1/2001
644.2571092,1420.329223,238.6877498,"1,420 lb/MWh <br>↑ 7.5% from 2005",644 kg/MWh <br>↑ 7.5% from 2005,239 Million<br>Metric Tonnes,2001,8/1/2001
630.6392629,1390.307319,193.5613951,"1,390 lb/MWh <br>↑ 5.3% from 2005",631 kg/MWh <br>↑ 5.3% from 2005,194 Million<br>Metric Tonnes,2001,9/1/2001
620.4144446,1367.765685,182.8548181,"1,368 lb/MWh <br>↑ 3.6% from 2005",620 kg/MWh <br>↑ 3.6% from 2005,183 Million<br>Metric Tonnes,2001,10/1/2001
614.9831045,1355.791752,171.5202171,"1,356 lb/MWh <br>↑ 2.6% from 2005",615 kg/MWh <br>↑ 2.6% from 2005,172 Million<br>Metric Tonnes,2001,11/1/2001
610.5825563,1346.090304,186.5307289,"1,346 lb/MWh <br>↑ 1.9% from 2005",611 kg/MWh <br>↑ 1.9% from 2005,187 Million<br>Metric Tonnes,2001,12/1/2001
