index (g/kwh),index (lb/mwh),final co2 (million mt),Imperial hovertext,SI hovertext,Emissions hovertext,year,quarter,year_quarter
636.6360386,1403.527811,583.2417917,"1,404 lb/MWh <br>↑ 6.3% from 2005",637 kg/MWh <br>↑ 6.3% from 2005,583 Million<br>Metric Tonnes,2001,1,2000 Q1
626.8175596,1381.881992,568.0579848,"1,382 lb/MWh <br>↑ 4.6% from 2005",627 kg/MWh <br>↑ 4.6% from 2005,568 Million<br>Metric Tonnes,2001,2,2001 Q2
639.2774146,1409.350988,661.6544888,"1,409 lb/MWh <br>↑ 6.7% from 2005",639 kg/MWh <br>↑ 6.7% from 2005,662 Million<br>Metric Tonnes,2001,3,2001 Q3
615.2747889,1356.4348,540.9057641,"1,356 lb/MWh <br>↑ 2.7% from 2005",615 kg/MWh <br>↑ 2.7% from 2005,541 Million<br>Metric Tonnes,2001,4,2001 Q4
605.5150028,1334.918375,547.5678849,"1,335 lb/MWh <br>↑ 1.1% from 2005",606 kg/MWh <br>↑ 1.1% from 2005,548 Million<br>Metric Tonnes,2002,1,2002 Q1
603.9731599,1331.519228,566.8244281,"1,332 lb/MWh <br>↑ 0.8% from 2005",604 kg/MWh <br>↑ 0.8% from 2005,567 Million<br>Metric Tonnes,2002,2,2002 Q2
625.9238664,1379.911756,680.5151578,"1,380 lb/MWh <br>↑ 4.5% from 2005",626 kg/MWh <br>↑ 4.5% from 2005,681 Million<br>Metric Tonnes,2002,3,2002 Q3
623.789727,1375.206832,578.9887028,"1,375 lb/MWh <br>↑ 4.1% from 2005",624 kg/MWh <br>↑ 4.1% from 2005,579 Million<br>Metric Tonnes,2002,4,2002 Q4
624.2640237,1376.252467,590.2537298,"1,376 lb/MWh <br>↑ 4.2% from 2005",624 kg/MWh <br>↑ 4.2% from 2005,590 Million<br>Metric Tonnes,2003,1,2003 Q1
600.6695527,1324.236096,553.810331,"1,324 lb/MWh <br>↑ 0.3% from 2005",601 kg/MWh <br>↑ 0.3% from 2005,554 Million<br>Metric Tonnes,2003,2,2003 Q2
623.16978,1373.840097,672.5953744,"1,374 lb/MWh <br>↑ 4.0% from 2005",623 kg/MWh <br>↑ 4.0% from 2005,673 Million<br>Metric Tonnes,2003,3,2003 Q3
624.1773627,1376.061414,584.411119,"1,376 lb/MWh <br>↑ 4.2% from 2005",624 kg/MWh <br>↑ 4.2% from 2005,584 Million<br>Metric Tonnes,2003,4,2003 Q4
606.0080193,1336.005279,587.5971528,"1,336 lb/MWh <br>↑ 1.1% from 2005",606 kg/MWh <br>↑ 1.1% from 2005,588 Million<br>Metric Tonnes,2004,1,2004 Q1
590.7569342,1302.382737,568.9089655,"1,302 lb/MWh <br>↓ 1.4% from 2005",591 kg/MWh <br>↓ 1.4% from 2005,569 Million<br>Metric Tonnes,2004,2,2004 Q2
600.8688346,1324.675433,649.7709329,"1,325 lb/MWh <br>↑ 0.3% from 2005",601 kg/MWh <br>↑ 0.3% from 2005,650 Million<br>Metric Tonnes,2004,3,2004 Q3
604.3814525,1332.41935,578.0888676,"1,332 lb/MWh <br>↑ 0.9% from 2005",604 kg/MWh <br>↑ 0.9% from 2005,578 Million<br>Metric Tonnes,2004,4,2004 Q4
601.954599,1327.069109,577.3219134,"1,327 lb/MWh <br>↑ 0.5% from 2005",602 kg/MWh <br>↑ 0.5% from 2005,577 Million<br>Metric Tonnes,2005,1,2005 Q1
585.0744085,1289.855041,566.5012325,"1,290 lb/MWh <br>↓ 2.3% from 2005",585 kg/MWh <br>↓ 2.3% from 2005,567 Million<br>Metric Tonnes,2005,2,2005 Q2
603.7212289,1330.963821,698.6639913,"1,331 lb/MWh <br>↑ 0.8% from 2005",604 kg/MWh <br>↑ 0.8% from 2005,699 Million<br>Metric Tonnes,2005,3,2005 Q3
604.870428,1333.497346,587.0874011,"1,333 lb/MWh <br>↑ 1.0% from 2005",605 kg/MWh <br>↑ 1.0% from 2005,587 Million<br>Metric Tonnes,2005,4,2005 Q4
